CODIGO;ROTA;CGC;I.EST;RAZ�O;FANTASIA;RUA;NR;CIDADE;UF;CEP;BAIRRO;TELEFONE;SUBCANAL;SEMANA;SEQUENCIA;EMAIL;TABELA;GRUPO NEGOCIO;VENDEDOR;SUPERVISOR;AREA;FORMA PGTO ORIGINAL;DIAS M�XIMOS;ROTATIVIDADE;DATA CADASTRO;DATA INATIVA��O;ESTATUS;CLUSTER/GEC;REF PET;LS;RGB;ULT.COMPRA;LIMITE CR�DT.;ACR�SCIMO;VENDEDOR 2;SEMANA 2;ROTATIVIDADE 2;DISTRIBUIDORA;LATITUDE;LONGITUDE;NAO PERMITE ALT.REST.ATUAL;NAO COBRAR CUSTO COB. BOLETO;cod.cid;FORMA PGTO ATUAL;COBERTURA;TELEFONE 2; TELEFONE 3; TELEFONE 4;PROMOTOR;PROMOTOR EQ2; CANAL; ESP�CIE
38;2;76414598000127;4260080925;HENRIQUE WOLFGANG SANDMANN                                  ;PADARIA PROGRESSO             ;AV  BRASIL                              ;1189;SANTA HELENA             ;PR;85892000;CENTRO                   ;45002681651;PADARIA                       ;SEG,QUI             ;1;                                                                                                    ;1;0;002-FABIANO DA VEIGA                    ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ;25/05/09;INATIVO       ;PRATA                    ;NAO;NAO;NAO;23/03/09;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;0;0;0;0;0;TRADICIONAL                   ;J
39;2;82464447000186;9032969337;V. BUTZGE E CIA LTDA ME                                     ;CASA DAS DELICIAS             ;AV. BRASIL,                             ;1044;SANTA HELENA             ;PR;85892000;CENTRO                   ;45002682197;PADARIA                       ;SEG,QUI             ;815;                                                                                                    ;1;0;002-FABIANO DA VEIGA                    ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ;29/11/05;INATIVO       ;PRATA                    ;NAO;NAO;NAO;22/11/05;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;0;0;0;0;0;TRADICIONAL                   ;J
40;1;2365742000146;9015380427;ENEIDA ZANELA LANG                                          ;HOTEL COSTA OESTE             ;RUA BRASILIA,                           ;600;SANTA HELENA             ;PR;85892000;CENTRO                   ;45002681179;HOTEL                         ;SEX                 ;570;                                                                                                    ;1;0;002-FABIANO DA VEIGA                    ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ;12/08/03;INATIVO       ;PRATA                    ;SIM;SIM;SIM;28/11/02;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;NAO;0;0;0;0;0;DIFERENCIADOS                 ;J
41;1;77752293001917;4260135762;COOP.AGROP.TRES FRONTEIRAS                                  ;COTREFAL                      ;RUA ARGENTINA,                          ;1188;SANTA HELENA             ;PR;85892000;CENTRO                   ;45002681490;EVENTOS                       ;SEG,QUI             ;750;                                                                                                    ;1;0;002-FABIANO DA VEIGA                    ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ; 2/08/02;INATIVO       ;PRATA                    ;SIM;SIM;SIM;        ;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;NAO;0;0;0;0;0;DIFERENCIADOS                 ;J
42;1;3330029000120;9031552050;SABRINA PERONDI E CIA LTDA EPP                              ;CONVENIENCIAS DUBOM           ;RUA BRASILIA                            ;460;SANTA HELENA             ;PR;85892000;CENTRO                   ;45032681392;LOJA DE CONVENIENCIA          ;SEG,QUI             ;50;postodolago26@gmail.com                                                                             ;3;4;001-JEFERSON AMARAL DOS REIS            ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ; 3/09/18;INATIVO       ;PRATA                    ;SIM;SIM;SIM;13/08/18;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;45099184433;0;0;0;0;C-STORE                       ;J
43;1;7000346000139;9032041415;SANGALETTI COMERCIO DE ALIMENTOS LTDA EPP                   ;MERC ACOU SANGALETTI          ;RUA PARA                                ;700;SANTA HELENA             ;PR;85892000;SAO LUIZ                 ;4532682573;SUPERMERCADO 1-4 Cks          ;QUI                 ;330;mercadosangaletti@hotmail.com                                                                       ;25;6;006-ALDAIR CARLOS DAL'SOTTO             ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ; 1/05/00;        ;ATIVO         ;OURO                     ;SIM;SIM;SIM; 9/06/22;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;-024.85084500;-054.33675390;NAO;NAO;23501;Livre                                                                                                                   ;SIM;0;0;0;0;0;HIPER & SUPER                 ;J
44;7;747300000139;4260200335;JURACI DA SILVA STA HELENA ME                               ;MERCEARIA PRIMAVERA           ;RUA SERGIPE                             ;910;SANTA HELENA             ;PR;85892000;CENTRO                   ;45002681261;MERCEARIA                     ;SEG,QUI             ;300;                                                                                                    ;25;6;004-ADEMIR FOCHEZATTO                   ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ; 2/09/13;INATIVO       ;PRATA                    ;NAO;NAO;NAO; 2/08/13;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;0;0;0;0;0;TRADICIONAL                   ;J
45;1;2375146000147;9015244671;DIST. BEBIDAD PRAINAS LTDA                                  ;DIST. BEB. PRAINAS            ;RUA PARAGUAI,                           ;1684;SANTA HELENA             ;PR;85892000;CENTRO                   ;45002681495;EVENTOS                       ;SEG,QUI             ;680;                                                                                                    ;1;0;002-FABIANO DA VEIGA                    ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ;14/04/11;INATIVO       ;PRATA                    ;SIM;SIM;SIM;23/02/01;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;NAO;0;0;0;0;0;DIFERENCIADOS                 ;J
46;1;5344333000151;9026814267;ROBERTO C. KRAEMER                                          ;MERCADO KRAEMER               ;RUA ANGELO CATTANI,                     ;2500;SANTA HELENA             ;PR;85892000;ALTO ALEGRE              ;0;SUPERMERCADO 1-4 Cks          ;SEG,QUI             ;690;                                                                                                    ;1;0;002-FABIANO DA VEIGA                    ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ;23/05/03;INATIVO       ;PRATA                    ;NAO;NAO;SIM;25/04/03;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;0;0;0;0;0;HIPER & SUPER                 ;J
47;1;2958473000121;9017720969;MARIA DE LURDE DE OLIVEIRA                                  ;B. CASCAIO E TRABAIO          ;RUA SERGIPE                             ;SN   ;SANTA HELENA             ;PR;85892000;CENTRO                   ;0;BAR BOTECO                    ;SEG,QUI             ;760;                                                                                                    ;1;0;002-FABIANO DA VEIGA                    ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ;22/08/01;INATIVO       ;PRATA                    ;SIM;SIM;NAO; 3/02/01;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;0;0;0;0;0;MERCADO FRIO                  ;J
48;2;7631597000111;9035280607;E.HACHMANN E CIA LTDA                                       ;MERCADO MULLER                ;AV. BRASIL,                             ;490;SANTA HELENA             ;PR;85892000;CENTRO                   ;45032682036;SUPERMERCADO 1-4 Cks          ;SEG,QUI             ;150;                                                                                                    ;1;0;002-FABIANO DA VEIGA                    ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ;29/02/08;INATIVO       ;PRATA                    ;NAO;NAO;SIM;24/07/07;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;0;0;0;0;0;               ;J
49;2;5745951000103;9028448136;GISMAR FRANDALOZO & CIA LTDA                                ;KI DELICIA SORVETES           ;RUA ARGENTINA,                          ;2440;SANTA HELENA             ;PR;85892000;CENTRO                   ;45002683040;SORVETERIA                    ;SEG,QUI             ;720;                                                                                                    ;1;0;002-FABIANO DA VEIGA                    ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ;25/11/05;INATIVO       ;PRATA                    ;SIM;SIM;SIM;13/10/05;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;NAO;0;0;0;0;0;MERCADO FRIO                  ;J
